date,fc_p,anomalia_cabal,dependencia_hidro_p,dependencia_importacions_electricitat_p
2013-01-01,13.62,-26.16827861,79.69,90.70
2013-02-01,11.66,-14.83313952,76.90,91.74
2013-03-01,14.34,17.37472324,79.96,89.40
2013-04-01,40.22,34.2963346,91.40,68.19
2013-05-01,56.70,38.90657404,95.66,52.96
2013-06-01,56.26,126.3804098,97.41,51.65
2013-07-01,50.69,210.0977163,93.36,54.51
2013-08-01,19.54,71.96713788,83.13,80.22
2013-09-01,1.71,-1.901295207,39.08,96.27
2013-10-01,6.66,-53.25002633,76.71,92.99
2013-11-01,19.42,26.61385927,84.26,84.86
2013-12-01,11.48,-19.65443722,73.66,91.45
2014-01-01,17.22,46.1083843,80.93,88.33
2014-02-01,14.62,12.44100465,78.92,89.75
2014-03-01,12.74,14.59753002,76.63,89.67
2014-04-01,51.23,74.44888273,92.60,59.00
2014-05-01,54.17,22.2895889,99.65,54.23
2014-06-01,47.04,23.43986197,92.68,55.64
2014-07-01,32.24,41.06354785,88.81,68.73
2014-08-01,21.43,70.79657163,84.09,78.03
2014-09-01,19.20,79.91710955,93.10,82.27
2014-10-01,21.52,31.78781541,88.56,79.91
2014-11-01,17.48,14.36434815,82.02,85.08
2014-12-01,28.26,111.1226289,87.81,82.35
2015-01-01,13.78,-5.835479723,77.86,90.67
2015-02-01,11.14,-18.74728077,73.47,92.05
2015-03-01,19.87,42.74573726,82.96,85.29
2015-04-01,45.66,36.43761257,91.61,61.76
2015-05-01,53.79,17.528838,95.26,50.75
2015-06-01,52.88,33.48404596,95.29,51.70
2015-07-01,23.81,-7.106245058,85.75,77.31
2015-08-01,14.10,49.74966962,79.38,84.84
2015-09-01,0.00,32.79988229,0.00,98.73
2015-10-01,0.00,-42.60393313,0.00,97.82
2015-11-01,2.79,27.16785407,42.48,95.41
2015-12-01,16.85,-29.46375586,80.80,87.99
2016-01-01,16.58,-11.63339251,80.39,89.01
2016-02-01,17.80,-13.81504079,81.79,88.15
2016-03-01,10.91,-58.64333167,73.59,91.33
2016-04-01,34.56,-44.31171039,89.69,71.77
2016-05-01,53.80,-5.678270805,93.35,51.73
2016-06-01,44.48,-28.80936374,95.05,59.41
2016-07-01,20.98,-28.75991913,86.39,79.59
2016-08-01,6.74,-46.35925429,65.66,91.41
2016-09-01,6.98,-41.16156396,82.64,92.76
2016-10-01,7.94,-54.30327561,66.99,90.43
2016-11-01,19.96,18.48881401,83.88,84.55
2016-12-01,10.31,-45.8707865,72.44,92.38
2017-01-01,7.77,-58.23603987,65.56,93.86
2017-02-01,10.27,-6.175783529,61.09,90.60
2017-03-01,27.11,25.70997643,80.21,78.64
2017-04-01,41.85,-21.32716198,87.67,64.42
2017-05-01,52.40,-24.68067039,93.26,51.57
2017-06-01,46.63,-38.77291292,94.77,57.43
2017-07-01,18.13,-49.59826523,78.31,80.45
2017-08-01,7.12,-46.3601169,56.36,89.38
2017-09-01,9.59,-31.38707783,96.49,91.51
2017-10-01,13.00,-44.45012865,73.07,85.30
2017-11-01,7.42,-67.30985971,55.71,91.25
2017-12-01,11.71,-55.09359569,54.04,88.73
2018-01-01,19.80,11.19486602,67.46,84.40
2018-02-01,14.49,-26.68458248,62.09,88.17
2018-03-01,13.25,-13.95791492,59.79,87.43
2018-04-01,41.94,29.94611659,86.14,64.03
2018-05-01,59.84,45.12468873,92.27,45.15
2018-06-01,56.03,38.47640994,91.38,46.77
2018-07-01,36.19,24.87458858,87.20,64.21
2018-08-01,16.63,48.43590956,73.26,80.39
2018-09-01,15.21,21.67074813,91.85,85.38
2018-10-01,29.75,55.75074104,86.74,72.22
2018-11-01,19.60,-3.860301826,78.16,83.48
2018-12-01,16.10,-29.86122508,63.87,85.73
2019-01-01,13.69,-38.20361281,59.67,87.57
2019-02-01,9.52,-27.5048641,49.42,89.42
2019-03-01,13.02,-45.05124845,57.82,86.21
2019-04-01,26.87,-51.73445667,75.86,75.55
2019-05-01,52.13,-35.4512577,90.00,50.06
2019-06-01,42.02,-40.42582957,88.51,57.72
2019-07-01,18.41,-45.03744752,79.56,80.32
2019-08-01,4.95,-41.2379191,44.57,90.36
2019-09-01,8.83,-31.93477603,77.78,89.74
2019-10-01,16.24,36.59213674,81.00,82.44
2019-11-01,18.58,12.73476483,78.65,84.55
2019-12-01,27.57,149.8585661,75.67,79.73
2020-01-01,20.30,70.01536234,67.28,84.04
2020-02-01,23.56,82.08778635,68.32,80.14
2020-03-01,33.52,78.59262637,79.59,69.73
2020-04-01,46.38,13.39018383,88.53,49.33
2020-05-01,59.65,1.290288375,90.74,31.15
2020-06-01,49.26,-4.745407701,88.44,45.90
2020-07-01,17.38,-20.74244542,74.02,78.62
2020-08-01,7.58,-27.3041264,52.11,86.90
2020-09-01,13.71,22.36558914,81.66,84.95
2020-10-01,39.94,162.4125427,86.91,64.73
2020-11-01,32.64,79.50130303,83.20,70.01
2020-12-01,16.89,-9.304311156,70.81,85.30
2021-01-01,14.16,-10.20437561,63.39,86.86
2021-02-01,20.31,45.25051119,69.36,79.65
2021-03-01,20.33,-13.36752521,68.67,78.68
2021-04-01,34.11,-42.77413128,83.87,66.78
2021-05-01,48.68,-37.80804483,87.97,50.64
2021-06-01,36.34,-47.30232811,84.24,60.00
2021-07-01,10.67,-50.82199526,62.99,84.71
2021-08-01,9.23,-34.75624273,57.41,85.64
2021-09-01,8.68,-16.56419222,74.55,89.39
2021-10-01,8.61,-45.99389115,57.88,88.02
2021-11-01,10.37,-55.97520238,55.41,87.87
2021-12-01,13.68,-21.90630113,59.65,87.56
2022-01-01,13.46,22.96256647,62.78,88.82
2022-02-01,9.20,-32.018611,56.53,90.72
2022-03-01,11.64,-48.00057307,55.29,87.31
2022-04-01,33.80,-28.37167,72.14,66.86
2022-05-01,51.05,-21.52173434,81.06,44.71
2022-06-01,28.77,-61.72488565,77.03,66.57
2022-07-01,7.56,-73.96953517,47.15,86.42
2022-08-01,6.73,-44.93162927,44.44,86.71
2022-09-01,7.26,-33.80442386,56.54,88.52
2022-10-01,10.73,-45.94198101,60.86,84.86
2022-11-01,10.59,-51.72557944,53.02,85.92
2022-12-01,9.04,-49.82678236,48.59,89.57
2023-01-01,9.19,-47.13701457,51.46,90.75
2023-02-01,5.80,-58.63424398,35.85,91.23
2023-03-01,24.52,-11.90125955,65.85,75.79
2023-04-01,22.95,-64.21942696,64.02,71.39
2023-05-01,31.78,-69.37797967,75.57,62.43
2023-06-01,31.62,-49.16489529,77.42,63.22
2023-07-01,16.83,-52.34390799,60.88,75.83
2023-08-01,7.84,-63.93845082,44.29,84.44
2023-09-01,5.76,-65.19839171,43.79,87.84
2023-10-01,11.60,-42.96128557,59.29,83.10
2023-11-01,19.20,-15.79533196,62.59,78.82
2023-12-01,20.38,-26.91533474,65.77,82.89
2024-01-01,14.06,-34.19074347,57.90,87.28
2024-02-01,13.41,-40.24631732,53.62,85.78
2024-03-01,19.13,-23.85337134,58.81,80.23
2024-04-01,38.79,-34.90428923,73.04,59.14
2024-05-01,53.98,-34.84511822,82.14,43.40
2024-06-01,37.91,-49.34578931,76.79,54.98
2024-07-01,18.58,-41.57882332,62.62,73.92
2024-08-01,6.79,-52.93581812,37.75,84.30
2024-09-01,3.86,-32.73471904,33.46,89.73
2024-10-01,22.72,36.24757377,68.72,73.11
2024-11-01,19.85,-9.655011175,66.79,79.19
2024-12-01,11.42,-34.98262284,52.04,88.35
